,Gompertz,Logistic,Richards,Von-Bert,MMF
733,3050.402651,3062.443959,-8.43E-262,3045.711968,3036.241715
734,3052.356269,3063.952896,-8.43E-262,3047.849055,3039.105758
735,3054.303062,3065.45313,-8.43E-262,3049.980204,3041.96728
736,3056.243048,3066.944702,-8.43E-262,3052.105428,3044.826285
737,3058.176247,3068.427652,-8.43E-262,3054.22474,3047.682775
738,3060.102677,3069.902021,-8.43E-262,3056.338152,3050.536756
739,3062.022356,3071.36785,-8.43E-262,3058.445679,3053.388231
740,3063.935304,3072.82518,-8.43E-262,3060.547333,3056.237203
741,3065.841538,3074.274052,-8.43E-262,3062.643127,3059.083677
742,3067.741078,3075.714505,-8.43E-262,3064.733074,3061.927656
743,3069.633943,3077.146581,-8.43E-262,3066.817188,3064.769143
744,3071.52015,3078.57032,-8.43E-262,3068.89548,3067.608144
745,3073.399719,3079.985762,-8.43E-262,3070.967965,3070.444661
746,3075.272669,3081.392947,-8.43E-262,3073.034655,3073.278699
747,3077.139017,3082.791916,-8.43E-262,3075.095563,3076.11026
748,3078.998782,3084.182708,-8.43E-262,3077.150702,3078.939349
749,3080.851983,3085.565363,-8.43E-262,3079.200085,3081.76597
750,3082.698639,3086.939921,-8.43E-262,3081.243725,3084.590125
751,3084.538769,3088.306422,-8.43E-262,3083.281636,3087.41182
752,3086.372389,3089.664906,-8.43E-262,3085.313829,3090.231057
753,3088.19952,3091.015412,-8.43E-262,3087.340318,3093.04784
754,3090.02018,3092.357979,-8.43E-262,3089.361116,3095.862173
755,3091.834387,3093.692647,-8.43E-262,3091.376237,3098.674059
756,3093.642159,3095.019455,-8.43E-262,3093.385691,3101.483503
757,3095.443516,3096.338442,-8.43E-262,3095.389494,3104.290508
758,3097.238475,3097.649647,-8.43E-262,3097.387657,3107.095077
759,3099.027055,3098.953109,-8.43E-262,3099.380194,3109.897214
760,3100.809275,3100.248867,-8.43E-262,3101.367117,3112.696923
761,3102.585152,3101.536959,-8.43E-262,3103.348439,3115.494207
762,3104.354706,3102.817424,-8.43E-262,3105.324173,3118.289071
763,3106.117954,3104.090301,-8.43E-262,3107.294333,3121.081516
764,3107.874915,3105.355628,-8.43E-262,3109.25893,3123.871548
765,3109.625607,3106.613444,-8.43E-262,3111.217978,3126.65917
766,3111.370049,3107.863785,-8.43E-262,3113.17149,3129.444385
767,3113.108259,3109.106691,-8.43E-262,3115.119478,3132.227197
768,3114.840254,3110.3422,-8.43E-262,3117.061955,3135.00761
769,3116.566054,3111.570348,-8.43E-262,3118.998934,3137.785626
770,3118.285676,3112.791175,-8.43E-262,3120.930428,3140.56125
771,3119.999139,3114.004717,-8.43E-262,3122.856449,3143.334485
772,3121.706461,3115.211011,-8.43E-262,3124.777011,3146.105334
773,3123.40766,3116.410096,-8.43E-262,3126.692126,3148.873802
774,3125.102755,3117.602009,-8.43E-262,3128.601807,3151.639891
775,3126.791762,3118.786786,-8.43E-262,3130.506067,3154.403606
776,3128.474701,3119.964465,-8.43E-262,3132.404918,3157.164949
777,3130.151589,3121.135082,-8.43E-262,3134.298373,3159.923924
778,3131.822445,3122.298675,-8.43E-262,3136.186445,3162.680534
779,3133.487287,3123.455279,-8.43E-262,3138.069146,3165.434784
780,3135.146131,3124.604932,-8.43E-262,3139.946489,3168.186676
781,3136.798998,3125.74767,-8.43E-262,3141.818488,3170.936215
782,3138.445904,3126.883529,-8.43E-262,3143.685153,3173.683402
783,3140.086867,3128.012545,-8.43E-262,3145.546499,3176.428243
784,3141.721906,3129.134754,-8.43E-262,3147.402538,3179.17074
785,3143.351038,3130.250193,-8.43E-262,3149.253282,3181.910896
786,3144.97428,3131.358896,-8.43E-262,3151.098744,3184.648716
787,3146.591652,3132.4609,-8.43E-262,3152.938937,3187.384202
788,3148.20317,3133.556241,-8.43E-262,3154.773873,3190.117358
789,3149.808853,3134.644953,-8.43E-262,3156.603565,3192.848187
790,3151.408718,3135.727071,-8.43E-262,3158.428025,3195.576693
791,3153.002783,3136.802632,-8.43E-262,3160.247266,3198.30288
792,3154.591066,3137.87167,-8.43E-262,3162.0613,3201.026749
793,3156.173584,3138.93422,-8.43E-262,3163.870141,3203.748306
794,3157.750355,3139.990317,-8.43E-262,3165.673799,3206.467553
795,3159.321396,3141.039995,-8.43E-262,3167.472289,3209.184493
796,3160.886726,3142.083289,-8.43E-262,3169.265622,3211.89913
797,3162.446362,3143.120233,-8.43E-262,3171.053812,3214.611467
798,3164.00032,3144.150862,-8.43E-262,3172.836869,3217.321508
799,3165.54862,3145.17521,-8.43E-262,3174.614807,3220.029256
800,3167.091278,3146.19331,-8.43E-262,3176.387639,3222.734714
801,3168.628312,3147.205197,-8.43E-262,3178.155376,3225.437885
802,3170.159738,3148.210905,-8.43E-262,3179.918031,3228.138774
803,3171.685576,3149.210466,-8.43E-262,3181.675616,3230.837382
804,3173.205841,3150.203915,-8.43E-262,3183.428144,3233.533714
805,3174.720552,3151.191285,-8.43E-262,3185.175627,3236.227772
806,3176.229725,3152.172609,-8.43E-262,3186.918078,3238.91956
807,3177.733379,3153.14792,-8.43E-262,3188.655508,3241.609081
808,3179.231529,3154.117251,-8.43E-262,3190.387931,3244.296339
809,3180.724194,3155.080635,-8.43E-262,3192.115357,3246.981336
810,3182.21139,3156.038105,-8.43E-262,3193.837801,3249.664077
811,3183.693135,3156.989693,-8.43E-262,3195.555273,3252.344563
812,3185.169446,3157.935431,-8.43E-262,3197.267786,3255.022799
813,3186.64034,3158.875353,-8.43E-262,3198.975353,3257.698787
814,3188.105835,3159.80949,-8.43E-262,3200.677985,3260.372531
815,3189.565946,3160.737875,-8.43E-262,3202.375695,3263.044034
816,3191.020691,3161.660538,-8.43E-262,3204.068495,3265.7133
817,3192.470088,3162.577512,-8.43E-262,3205.756397,3268.38033
818,3193.914152,3163.488829,-8.43E-262,3207.439414,3271.04513
819,3195.352902,3164.394521,-8.43E-262,3209.117556,3273.707701
820,3196.786353,3165.294617,-8.43E-262,3210.790837,3276.368047
821,3198.214523,3166.189151,-8.43E-262,3212.459269,3279.026171
822,3199.637429,3167.078152,-8.43E-262,3214.122864,3281.682076
823,3201.055087,3167.961652,-8.43E-262,3215.781633,3284.335765
824,3202.467515,3168.839683,-8.43E-262,3217.435589,3286.987243
825,3203.874728,3169.712273,-8.43E-262,3219.084743,3289.636511
826,3205.276743,3170.579455,-8.43E-262,3220.729109,3292.283572
827,3206.673578,3171.441258,-8.43E-262,3222.368697,3294.928431
828,3208.065249,3172.297713,-8.43E-262,3224.00352,3297.571089
829,3209.451772,3173.14885,-8.43E-262,3225.63359,3300.211551
830,3210.833165,3173.9947,-8.43E-262,3227.258919,3302.849819
831,3212.209442,3174.835291,-8.43E-262,3228.879519,3305.485897
832,3213.580622,3175.670655,-8.43E-262,3230.4954,3308.119786
833,3214.946721,3176.50082,-8.43E-262,3232.106577,3310.751492
834,3216.307754,3177.325816,-8.43E-262,3233.71306,3313.381016
835,3217.663739,3178.145673,-8.43E-262,3235.314861,3316.008361
836,3219.014692,3178.96042,-8.43E-262,3236.911992,3318.633532
837,3220.360628,3179.770085,-8.43E-262,3238.504464,3321.25653
838,3221.701565,3180.574699,-8.43E-262,3240.092291,3323.877359
