,Gompertz,Logistic,Richards,Von-Bert,MMF
609,142.78459,97.7318486,2892,161.532186,231.7897002
610,142.8424546,97.82300736,2895,161.5589758,231.5800212
611,139.9093415,94.92778201,2895,158.5932637,228.3734202
612,137.9852359,93.04614299,2896,156.6350384,226.1698918
613,137.0701229,92.1780604,2898,155.6842887,224.9694308
614,135.1639875,90.32350402,2899,153.7410034,222.7720321
615,133.2668149,88.48244327,2900,151.8051711,220.5776904
616,132.3785897,87.65484725,2902,150.8767805,219.3864006
617,129.4992969,84.84068475,2902,147.9558202,216.1981574
618,129.6289212,85.03992424,2905,148.0422788,216.0129558
619,127.7674471,83.25253388,2906,146.1361448,213.8307905
620,124.9148593,80.4784815,2906,143.2374066,210.6516565
621,130.0711422,85.71773467,2914,148.3460529,215.4755486
622,135.2362803,90.97026064,2922,153.4620719,220.3024618
623,143.4102578,99.23602637,2933,161.5854521,228.1323909
624,156.593059,112.5149985,2949,174.7161819,240.9653308
625,164.7846681,120.8071435,2960,182.8542495,248.8012766
626,169.9850693,126.1124275,2968,187.9996432,253.6402231
627,167.1942465,123.4308162,2968,185.1523513,250.4821654
628,164.4121837,120.7622754,2968,182.3123621,247.3270984
629,166.6388648,123.1067702,2973,184.4796636,249.175017
630,163.8742737,120.4642659,2973,181.654244,246.0259164
631,161.1183941,117.8347271,2973,178.8360915,242.8797916
632,158.3712097,115.2181185,2973,176.0251942,239.7366375
633,156.6327042,113.6144044,2974,174.2215401,237.5964492
634,153.902861,111.0235488,2974,171.4251172,234.4592217
635,151.1816638,108.4455158,2974,168.6359135,231.3249502
636,148.4690959,105.8802687,2974,165.853917,228.1936298
637,146.7651408,104.3277712,2975,164.0791157,226.0652554
638,144.0697818,101.7879864,2975,161.3114975,222.9398224
639,141.3830021,99.26087719,2975,158.5510502,219.8173256
640,138.7047849,96.74640642,2975,155.7977617,216.6977604
641,137.0351134,95.24453663,2976,154.0516198,214.5811218
642,135.3739707,93.7552302,2977,152.3126123,212.4674051
643,133.7213398,92.27844929,2978,150.5807271,210.3566053
644,131.0772038,89.81415588,2978,147.8559518,207.2487177
645,130.4415454,89.36231176,2980,147.1382742,206.1437375
646,127.8143477,86.92287854,2980,144.4276819,203.0416598
647,125.1955935,84.49581766,2980,141.7241628,199.94248
648,122.5852655,82.08109036,2980,139.0277044,196.8461933
649,119.9833464,79.67865775,2980,136.3382943,193.7527948
650,117.389819,77.28848074,2980,133.6559202,190.6622799
651,114.8046658,74.9105201,2980,130.9805696,187.5746439
652,113.2278695,73.54473644,2981,129.3122301,185.489882
653,110.6594126,71.19109021,2981,126.6508893,182.4079895
654,108.0992776,68.84954171,2981,123.9965347,179.3289617
655,105.547447,66.52005112,2981,121.3491537,176.2527941
656,105.0039031,66.20257845,2983,120.7087338,175.1794818
657,102.4686283,63.8970836,2983,118.0752626,172.1090202
658,99.94160499,61.6035263,2983,115.4487274,169.0414048
659,98.42281541,60.3218662,2984,113.8291157,166.9766309
660,95.91224181,58.0520628,2984,111.2164149,163.9146938
661,93.4098664,55.79407547,2984,108.6106123,160.8555889
662,91.91567135,54.54786348,2985,107.0116953,158.7993118
663,89.42963879,52.31338599,2985,104.4196513,155.7458577
664,92.95175082,56.09060203,2991,107.8344676,158.6952221
665,90.4819895,53.87947056,2991,105.2561315,155.6474005
666,90.02033685,53.6799504,2993,104.6846303,154.6023882
667,108.5667749,72.49200029,3014,123.1199513,172.5601809
668,114.1212855,78.31557889,3022,128.5620818,177.5207739
669,113.6838507,78.15064474,3024,128.011009,176.4841627
670,114.2544523,78.99715631,3027,128.4667201,176.4503429
671,114.8330723,79.855072,3030,128.9292024,176.4193099
672,112.4196924,77.7243501,3030,126.3984431,173.3910593
673,110.0142944,75.60494885,3030,123.8744293,170.3655866
674,110.6168602,76.4968264,3033,124.3571483,170.3428874
675,108.2273715,74.39994083,3033,121.8465872,167.3229571
676,117.84581,84.31425018,3045,131.3427332,176.3057914
677,123.4721573,90.23971238,3053,136.8455734,181.2913859
678,126.1063953,93.17628535,3058,139.3550949,183.2797361
679,131.7485055,99.12392693,3066,144.8712849,188.2708376
680,133.3984695,101.0825949,3070,146.3941305,189.2646861
